recno,Name,Vmag,SpType,n_Name,Teff,e_Teff,E_Teff,logg,e_logg,E_logg,[M/H],e_[M/H],E_[M/H],SMR,_RA,_DE,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist
144,TYC 1047-340-1,10.83,G0V," ",6100,45,50,4.3,0.2,0.25,-0.02,0.04,0.04," ",285.3108,11.72331,122062853108518469,285.31081862,11.72319412,0.215,0.186,0.0,1409605632,168,55912.94314815,1,54,11.265,,,,16484,10.847,,,,16484,10.72,,,,16484,10.689,,,,16484,10.67,,,,114788,0.4223
145,BD+45 2829,11.65,G2V," ",5615,70,55,3.1,0.35,0.1,-0.22,0.12,0.08," ",286.30202,45.66498,162792863020538658,286.30202093,45.6649099,0.214,0.115,90.0,1141006336,136,54322.87592593,7,79,11.71,,,,65636,11.329,,,,114788,11.159,,,,16484,11.062,,,,100,11.02,,,,98404,0.252371
146,BD+28 3198,8.66,G2V," ",5840,25,45,4.0,0.1,0.25,0.24,0.04,0.06,*,286.74088,29.2026,143042867408843513,286.74085807,29.20266004,0.001,0.001,90.0,1140924416,136,51648.45239583,3,13,8.85,,,,114788,8.515,,,,68,8.404,,,,68,8.376,,,,68,8.371,,,,32868,0.226864
147,BD+46 2647,10.18,G0V," ",5985,60,55,3.5,0.3,0.25,-0.2,0.06,0.08," ",288.48864,46.33463,163602884885392207,288.48860206,46.334646,0.638,0.255,0.0,1409441792,168,52576.5703588,5,47,10.354,,,,114788,10.052,,,,114788,9.939,,,,114788,9.89,,,,114788,9.875,,,,114788,0.110503
148,BD+44 3090,10.45,G2V," ",5750,95,50,3.5,0.5,0.3,-0.5,0.08,0.04," ",289.05469,45.09216,162112890550311455,289.05469545,45.09217653,0.0,0.0,90.0,268959744,32,51997.99497685,0,34,10.6241,0.1527,12.9405,0.1785,88,9.759,0.0216,13.004,0.0797,88,10.295,0.0334,13.0299,0.1728,88,10.1294,0.068,12.212,0.1829,88,10.6437,0.2561,11.7207,0.1131,88,0.061099
149,Cl* NGC 6779 CB 471,12.99,G1V," ",5790,70,65,3.8,0.35,0.35,0.2,0.1,0.1,*,289.41892,29.86569,143832894189179419,289.41893675,29.86568269,0.079,0.037,90.0,637853696,76,55858.03760417,10,86,13.229,,,,114724,12.824,,,,98340,12.659,,,,98340,12.583,,,,114724,12.5451,0.0022,12.5501,0.0029,115000,0.05854
150,BD+45 2871,10.47,G0V,*,5110,70,80,3.0,0.15,0.0,0.28,0.1,0.12," ",289.58141,45.55749,162662895816199535,289.581424,45.557487,0.05,0.05,90.0,1140924416,136,50972.40069444,10,56,10.751,,,,98404,10.437,,,,98404,10.319,,,,98404,10.272,,,,114788,10.26,,,,98404,0.036905
151,HD 182081,9.53,G2V," ",5915,50,70,4.65,0.2,0.3,0.08,0.06,0.06," ",290.67959,7.72985,117272906794166754,290.67946423,7.72998686,0.001,0.001,90.0,1343750144,160,56102.75189815,1,38,10.1574,0.0162,12.711,0.0553,24,10.0576,0.2347,12.9474,0.1657,24,9.3692,0.0915,12.8583,0.053,24,9.3945,0.0378,11.2251,0.0453,24,9.6364,0.1363,11.1758,0.0922,114744,0.666366
152,BD+06 4171,10.56,G2V," ",5955,45,45,4.4,0.2,0.25,-0.08,0.04,0.04," ",292.71994,7.14338,116572927198252333,292.71955598,7.14317819,0.019,0.019,90.0,335699968,40,55505.07873843,0,43,10.8899,0.0366,12.5394,0.0314,88,10.4812,0.0135,12.396,0.0448,88,10.2903,0.0565,12.769,0.1818,88,10.1983,0.1034,11.7612,0.0539,88,10.8187,0.1815,11.3903,0.08,88,1.552257
153,BD+29 3641,9.87,G0V," ",6260,25,15,4.5,0.1,0.05,-0.2,0.02,0.02," ",293.34908,30.286,144342933489203917,293.349062,30.286032,0.051,0.051,90.0,1409359872,168,50932.46248843,1,3,10.045,,,,16420,9.774,,,,16420,9.692,,,,16420,9.678,,,,16420,9.684,,,,114724,0.128071
154,TYC 2655-3677-1,9.93,G0V," ",6220,45,50,4.15,0.3,0.25,0.28,0.04,0.06,*,294.55336,30.60731,144722945534059544,294.5532989,30.6072778,3.138,1.41,90.0,1409605632,168,55038.72929398,4,56,10.097,,,,68,9.887,,,,114788,9.845,,,,114788,9.862,,,,114788,9.88,,,,114788,0.221985
155,TYC 2655-3531-1,10.39,G2V," ",5670,60,80,4.15,0.3,0.35,0.06,0.08,0.08," ",294.64131,30.42592,144512946416322156,294.64140244,30.42616744,0.092,0.092,90.0,268513280,32,56033.62780093,0,10,11.2682,0.0014,12.146,0.0229,16,10.9853,0.0257,12.2556,0.3023,16,10.8699,0.001,13.7055,0.0011,24,,,,,0,10.9765,0.0153,11.327,0.0512,24,0.935863
156,BD+31 3699,8.85,G0V,*,5990,45,20,3.0,0.2,0.0,-0.1,0.06,0.02," ",294.68092,32.00735,146402946811099528,294.680928,32.007385,0.048,0.048,90.0,1140924416,136,50933.43168981,8,24,9.031,,,,114724,8.758,,,,98340,8.666,,,,4,8.633,,,,98340,8.626,,,,98340,0.128345
157,HD 187548,7.98,G0V," ",6170,40,45,4.8,0.15,0.2,-0.24,0.04,0.02," ",297.36189,28.61018,142332973623002997,297.36192195,28.61045124,0.001,0.001,90.0,1343750144,160,55801.26112269,1,15,9.1457,0.0,11.7917,0.0,114744,8.2042,0.0016,12.77,0.1225,24,7.7515,0.0041,12.1817,0.0075,24,7.7329,0.0304,10.6937,0.0415,16,8.0767,0.0348,10.4854,0.2224,24,0.981671
158,HD 226886,10.36,G0V," ",6070,50,65,4.4,0.2,0.35,-0.48,0.04,0.04," ",299.58914,37.8421,153412995888421204,299.58868362,37.84214319,0.073,0.073,90.0,1375809536,164,55713.90615741,1,75,11.6467,0.002,14.5567,0.0021,4184,10.4204,0.0343,12.4463,0.0174,88,11.4558,0.001,10.3851,0.001,16778328,10.0487,0.0036,11.9902,0.1214,88,10.1277,0.001,10.0911,0.001,115832,1.306742
159,TYC 3150-1396-1,10.82,G0V," ",5845,30,85,3.95,0.1,0.45,-0.06,0.06,0.1," ",300.05348,37.86266,153433000535375897,300.05351388,37.86272859,0.047,0.044,90.0,1141170176,136,54694.3087963,5,62,11.135,,,,32868,10.791,,,,114788,10.654,,,,65636,10.592,,,,114788,10.571,,,,114788,0.265035
160,HD 227290,9.17,G0V," ",5840,65,40,4.35,0.3,0.2,0.0,0.04,0.02," ",300.67397,34.83564,149803006740093753,300.6739728,34.83564843,0.0,0.0,90.0,268959744,32,51986.24777778,0,20,9.1715,0.0013,11.2081,0.0361,88,9.8867,0.001,13.4701,0.001,80,8.7834,,,,80,8.8409,0.1374,12.2294,0.2816,88,8.9836,0.2141,10.4269,0.1823,88,0.031456
161,HD 339479,8.51,G0V," ",5995,35,40,4.4,0.2,0.2,-0.3,0.02,0.04," ",301.20119,26.48351,139783012011770858,301.201203,26.483526,0.049,0.049,90.0,1409359872,168,50730.10219907,4,15,8.737,,,,68,8.402,,,,114788,8.291,,,,114788,8.262,,,,114788,8.258,,,,114788,0.071221
162,TYC 3150-141-1,10.48,G0V," ",5965,55,55,4.3,0.25,0.25,0.06,0.06,0.04," ",301.24439,39.36548,155233012446359433,301.24473429,39.365586,0.011,0.011,90.0,268959744,32,56319.32797454,0,3,,,,,0,,,,,0,10.0284,0.001,12.2396,0.001,16,,,,,0,13.6221,0.0032,13.271,0.0076,4120,1.031421
163,HD 333565,8.75,G1V," ",5990,55,50,4.45,0.3,0.25,0.12,0.04,0.06," ",301.5332,28.91715,142703015329370775,301.53286315,28.91675251,0.001,0.001,90.0,1343750144,160,55869.06449074,2,20,8.6885,0.0064,13.5182,0.0201,24,8.2107,0.1387,,,114744,8.0958,4.0E-4,12.5985,0.0913,24,8.6714,0.0479,10.6203,0.2067,24,8.4108,0.3184,10.6703,0.2316,114744,1.781676
164,TYC 2683-1630-1,11.1,G0V," ",6490,45,35,4.3,0.25,0.2,0.02,0.04,0.02," ",301.53545,36.06836,151283015355752744,301.5357245,36.06863554,0.55,0.453,0.0,1141170176,136,55605.95680556,1,85,11.26,,,,114724,11.064,,,,36,11.027,,,,36,11.043,,,,36,11.06,,,,36,1.273576
165,HD 227781,10.33,G0V," ",5910,15,40,4.0,0.05,0.15,-0.32,0.04,0.04," ",301.85588,38.66468,154393018559898232,301.85612381,38.66482903,0.016,0.016,90.0,1409441792,168,54990.91505787,3,42,10.626,,,,114788,10.206,,,,114788,10.012,,,,68,9.901,,,,114788,9.857,,,,68,0.870358
166,HD 333663,9.13,G0V," ",5825,55,40,4.35,0.25,0.2,-0.06,0.04,0.04," ",302.39,30.21603,144253023899679696,302.389976,30.215958,0.05,0.05,90.0,1409359872,168,51661.44748843,3,30,9.423,,,,114788,9.048,,,,68,8.902,,,,68,8.842,,,,114788,8.826,,,,114788,0.269739
167,BD+33 3784,9.95,G0V," ",6190,55,20,4.0,0.3,0.1,0.08,0.04,0.02," ",302.69346,34.29808,149153026931128409,302.69304201,34.29800811,0.015,0.015,90.0,1342255104,160,56409.61221065,2,19,10.543,0.0555,12.605,0.0519,114744,,,,,0,9.9483,0.0165,12.4601,0.005,24,10.0057,0.089,11.8306,0.0586,24,10.9748,0.004,14.4613,0.0054,16896056,1.269766
168,HD 191898,8.78,G0V," ",5960,40,45,4.5,0.2,0.25,-0.04,0.02,0.04," ",302.81795,26.13876,139363028181766930,302.817938,26.138809,0.048,0.048,90.0,1409359872,168,50730.16019676,2,26,8.994,,,,114788,8.663,,,,68,8.569,,,,68,8.555,,,,68,8.555,,,,114788,0.180613
169,HD 228356,9.07,G0V," ",6055,55,20,4.0,0.3,0.1,0.16,0.06,0.04,*,303.25142,38.98159,154773032516468559,303.2514693,38.98164686,0.001,0.001,90.0,1343750144,160,55989.18070602,5,17,,,,,114784,8.8966,0.0726,12.2117,0.1419,114808,9.0124,0.001,11.3267,0.001,114800,8.7657,0.048,11.2491,0.2492,114808,8.9699,0.2228,10.3523,0.1144,114808,0.246849
170,BD+34 4028,9.54,G0V,*,6890,10,10,3.0,0.05,0.0,-2.1,0.12,0.14," ",306.8523,35.33688,150403068522314631,306.85236354,35.33687434,0.001,0.001,90.0,1343750144,160,55958.27878472,4,16,9.6452,0.0705,13.6589,0.2357,114808,9.6998,0.001,11.7624,0.001,114800,9.4443,0.069,,,114808,9.9504,0.0125,11.7486,0.009,114808,9.5745,0.4729,10.9373,0.0675,88,0.187711
171,[MHG2003] f,12.74,G3V," ",5805,75,45,4.2,0.35,0.25,0.0,0.08,0.04," ",307.96379,41.38961,157663079638628424,307.96388373,41.38982571,0.06,0.028,0.0,637853696,76,55835.63732639,5,70,13.352,,,,114724,12.845,,,,114724,12.604,,,,65572,12.463,,,,114724,12.3379,0.003,12.3333,0.0038,115000,0.816776
172,HD 334802,8.68,G0V," ",6180,40,50,4.55,0.2,0.25,-0.14,0.02,0.02," ",309.38616,30.17966,144213093860025813,309.38624039,30.17944586,0.001,0.001,90.0,1343750144,160,56034.32657407,2,11,7.606,0.0665,12.5722,0.1729,114744,9.6459,0.001,11.7146,0.001,114744,8.7613,0.0583,12.5403,0.1032,16,8.5475,0.1277,11.3216,0.0442,24,11.1928,0.001,9.6864,0.001,16777240,0.810482
173,BD+31 4162,8.69,F9V," ",5925,60,60,4.3,0.3,0.35,0.08,0.06,0.06," ",309.44898,32.40637,146883094490088441,309.44898349,32.40640792,0.0,0.0,90.0,268959744,32,51991.68724537,0,15,7.3059,0.1012,12.9222,0.3202,88,7.8004,0.0,13.4346,0.0,88,6.7993,0.001,13.8097,0.001,88,7.5322,0.3433,11.5323,0.0736,88,8.3591,0.3416,10.4171,0.0077,88,0.136923
174,TYC 4447-2604-1,10.47,G2V," ",5795,95,65,4.4,0.45,0.3,0.14,0.08,0.08," ",309.61608,67.60953,189133096161512089,309.6158399,67.60953671,0.051,0.051,90.0,1342332928,160,52193.73082176,3,31,10.833,,,,68,10.467,,,,68,10.336,,,,114788,10.293,,,,68,10.281,,,,68,0.330134
175,Cl* NGC 7023 SCKM 28,12.0,G2V," ",5895,65,85,4.6,0.3,0.35,0.08,0.06,0.08," ",310.1487,67.78099,189333101487427873,310.14868713,67.78090789,0.25,0.097,90.0,872734720,104,55983.68185185,4,80,12.291,,,,114788,11.873,,,,114788,11.746,,,,16484,11.715,,,,114788,11.696,,,,114788,0.296115
176,BD+47 3218,8.7,G0V," ",6050,45,60,4.05,0.25,0.35,0.16,0.04,0.08," ",313.57918,48.39392,166073135792343657,313.57916914,48.39393834,0.0,0.0,90.0,268959744,32,51992.23479167,0,4,,,,,64,,,,,64,,,,,64,8.9457,0.001,11.4768,0.001,80,8.7702,0.0275,10.0351,0.1045,80,0.070944
177,TYC 3583-1038-1,9.36,G0V," ",6015,65,55,4.35,0.35,0.25,-0.06,0.02,0.06," ",313.84714,50.42687,168513138468273216,313.8471545,50.42690535,0.001,0.001,90.0,302067712,36,55728.61579861,0,18,10.5197,0.0551,12.0098,0.0813,24,9.1316,0.0272,11.8674,0.014,24,9.1723,0.0,11.5769,0.0,24,8.7148,0.0189,12.7439,0.0516,24,10.0083,0.0274,10.03,0.0408,1048,0.131533
178,TYC 3179-1320-1,11.65,G0V," ",5780,35,35,4.95,0.0,0.1,-0.2,0.08,0.06," ",314.17121,43.70742,160443141709869142,314.17089176,43.70716251,0.009,0.009,90.0,1384275968,165,55611.40766204,0,7,,,,,0,13.4988,0.0129,11.9208,0.0518,16778264,13.8003,0.05,11.6623,0.0113,16778264,,,,,0,14.8371,0.0041,13.3696,0.0042,16794168,1.243036
179,BD+42 3926,9.91,G0V," ",5780,70,30,4.05,0.3,0.15,-0.1,0.06,0.04," ",314.6893,42.70496,159243146893916304,314.68942565,42.70486878,0.001,0.001,90.0,268959744,32,51999.32210648,0,30,9.8287,0.1179,12.6203,0.0644,88,9.8881,0.043,12.4902,0.1368,88,9.0701,0.001,13.7784,0.0012,80,9.9533,0.0108,11.3474,0.0659,88,9.7032,0.0695,10.8585,0.0215,88,0.467263
181,TYC 3596-374-1,10.66,G3V," ",5780,60,85,4.65,0.25,0.35,0.06,0.06,0.08," ",315.7531,48.90775,166693157531970068,315.7531905,48.9077754,0.001,0.001,90.0,1141006336,136,51750.33980324,2,54,10.805,,,,16484,10.46,,,,65636,10.333,,,,16484,10.288,,,,16484,10.279,,,,114788,0.232846
182,TYC 3600-175-1,9.72,G3V," ",5720,70,60,4.65,0.3,0.25,-0.12,0.08,0.08," ",317.34246,51.63063,169953173424237524,317.34261723,51.63070244,0.001,0.001,90.0,1141006336,136,52794.5608912,9,29,9.786,,,,65636,9.43,,,,100,9.331,,,,65636,9.317,,,,100,9.31,,,,98404,0.437555
183,TYC 3172-1505-1,10.77,G2V," ",5600,60,80,4.35,0.25,0.3,-0.34,0.08,0.08," ",317.45204,40.48972,156583174522928466,317.45229094,40.48986012,0.016,0.016,90.0,1342255104,160,55503.19446759,3,3,,,,,0,,,,,0,,,,,114720,13.4505,0.0013,12.5403,0.0012,114736,,,12.8859,0.1881,114744,0.852338
184,TYC 3593-3505-1,11.35,G1V," ",5690,65,60,4.35,0.3,0.25,-0.24,0.06,0.08," ",318.26857,48.57313,166283182686068452,318.26846895,48.57293383,0.571,0.282,0.0,604299264,72,55756.61840278,3,64,11.805,,,,16484,11.319,,,,16484,11.166,,,,114788,11.114,,,,65636,11.079,,,,114788,0.746105
186,TYC 3590-2169-1,11.55,G0V," ",6165,40,45,4.1,0.25,0.25,0.12,0.04,0.04," ",321.04623,46.36088,163633210463253742,321.04633596,46.36089347,0.053,0.043,90.0,1141170176,136,55088.39649306,1,73,11.902,,,,100,11.586,,,,100,11.468,,,,100,11.423,,,,16484,11.411,,,,114788,0.267677
187,HD 203844,7.75,G1V," ",6100,35,35,4.25,0.2,0.2,-0.06,0.02,0.02," ",321.23582,-8.17923,98183212362545759,321.23586215,-8.17918025,0.0,0.0,90.0,268959744,32,51998.97003472,0,12,,,,,64,7.5372,0.001,12.6513,0.001,80,8.3694,0.0727,,,88,7.5486,0.0023,11.5149,0.2086,88,7.1656,0.0107,10.2053,0.2159,88,0.233743
188,TYC 1127-1869-1,11.41,G0V," ",6120,50,35,3.35,0.3,0.2,0.1,0.08,0.06," ",322.19705,12.61642,123143221970930311,322.19704926,12.61640656,0.229,0.115,90.0,1409605632,168,55304.66505787,1,76,11.642,,,,16484,11.305,,,,16484,11.196,,,,16484,11.166,,,,16484,11.163,,,,114788,0.048454
189,[M96a] SS Cyg star 14,12.92,G0V," ",6195,35,40,4.0,0.25,0.25,0.24,0.04,0.06,*,325.74458,43.58833,160303257446966524,325.74469259,43.58816951,0.02,0.016,0.0,637853696,76,55812.82519676,17,63,13.397,,,,98340,13.005,,,,114724,12.831,,,,114724,12.737,,,,114724,12.6204,0.0032,12.6235,0.0019,115000,0.648075
190,HD 206938,9.2,G2V," ",5720,70,60,4.35,0.3,0.25,0.06,0.06,0.06," ",326.37626,0.67773,108813263767183486,326.37638996,0.67749962,0.001,0.001,90.0,1352138752,161,56305.43990741,0,6,,,,,16416,,,,,16416,12.8148,0.0196,11.6872,0.004,16793656,13.2994,0.1731,,,16793656,,,,,0,0.952213
191,HD 208379,8.54,G0V," ",6180,40,40,4.3,0.25,0.25,0.12,0.04,0.04," ",328.86444,25.93279,139113288644869881,328.86459762,25.9328338,0.001,0.001,90.0,1409359872,168,50753.11278935,5,16,8.746,,,,114788,8.446,,,,114788,8.345,,,,114788,8.314,,,,114788,8.312,,,,114788,0.534102
192,TYC 3969-17-1,10.96,G0V," ",6025,55,35,4.3,0.3,0.2,0.0,0.04,0.02," ",332.87917,54.12887,172953328795095332,332.87965026,54.12898853,0.759,0.451,0.0,1376051200,164,56035.50238426,1,66,11.2866,0.0595,12.7798,0.0936,24,10.8324,0.0128,13.1813,0.2347,16440,12.0242,,13.2857,0.1011,16440,12.9724,0.001,12.3127,0.001,16794680,10.6671,0.0203,10.6672,0.0034,115768,1.099289
193,TYC 3973-1584-1,10.74,G2V," ",6000,35,55,4.45,0.2,0.3,0.2,0.04,0.06,*,333.23245,54.44543,173333332323585189,333.23227327,54.44542181,0.091,0.068,0.0,1409605632,168,54165.968125,0,60,10.979,,,,16484,10.649,,,,16484,10.553,,,,16484,10.541,,,,68,10.541,,,,16484,0.371126
194,BD+52 3145,10.2,G0V," ",6095,35,50,3.95,0.2,0.25,0.26,0.06,0.06,*,333.31998,53.202,171843333200472871,333.32003623,53.20190068,0.001,0.001,90.0,1075314688,128,55980.71885417,2,17,12.2381,0.0025,13.3267,0.0014,4120,,,,,0,9.9673,0.0057,12.7818,0.1062,16,10.5249,0.2246,11.3231,0.0642,24,10.1345,0.3913,11.3255,0.0313,98360,0.377552
195,TYC 3969-3070-1,10.39,G0V," ",6160,35,65,4.45,0.2,0.35,0.1,0.04,0.06," ",333.32906,53.27092,171923333290115860,333.32894983,53.27087624,0.2,0.184,90.0,1141006336,136,55977.01997685,4,72,10.442,,,,65636,10.187,,,,32868,10.109,,,,65636,10.095,,,,16484,10.097,,,,114788,0.284737
196,TYC 3986-3381-1,10.37,G2V," ",5855,55,60,4.15,0.25,0.25,0.26,0.08,0.06,*,333.51411,54.52676,173433335145173139,333.51452206,54.52704681,0.024,0.024,90.0,268513280,32,55378.61238426,0,4,,,,,0,9.8277,0.0,13.048,0.0,16777240,14.4396,0.0017,,,16777240,,,,,0,12.4268,0.0012,12.2472,0.0019,24,1.344308
197,BD+53 2822,9.65,G0V," ",6025,60,50,4.2,0.3,0.2,0.0,0.04,0.04," ",333.57801,53.81286,172573335781356400,333.578097,53.81284,0.052,0.052,90.0,1409359872,168,51458.17469907,2,31,9.706,,,,68,9.434,,,,68,9.34,,,,68,9.309,,,,114788,9.3,,,,114788,0.198443
198,TYC 3982-2812-1,10.82,G2V," ",5895,60,50,4.3,0.3,0.25,0.18,0.06,0.06,*,333.62777,54.23442,173083336279231979,333.6277493,54.23443679,0.04,0.04,90.0,1409441792,168,53483.64744213,1,44,11.055,,,,16484,10.696,,,,16484,10.597,,,,16484,10.585,,,,16484,10.579,,,,114788,0.074502
199,TYC 3618-1191-1,11.41,G0V," ",5940,60,60,4.4,0.35,0.3,0.24,0.08,0.08,*,333.63977,52.45682,170943336398308874,333.63997765,52.45687327,0.076,0.044,0.0,1141170176,136,55998.63946759,5,75,11.439,,,,65636,11.14,,,,65636,11.038,,,,32868,11.008,,,,32868,11.005,,,,114788,0.494242
200,BD+53 2826,10.15,G0V," ",5880,75,50,4.45,0.3,0.3,0.02,0.06,0.04," ",333.78782,54.48322,173383337878390838,333.787843,54.483215,0.054,0.054,90.0,1409359872,168,51436.33659722,5,13,10.479,,,,114724,10.121,,,,114724,10.005,,,,114724,9.977,,,,114724,9.97,,,,114724,0.051359
201,HD 239919,9.39,G0V," ",6055,60,25,4.5,0.3,0.15,-0.02,0.02,0.04," ",334.61399,56.06546,175273346142239280,334.614042,56.065506,0.059,0.059,90.0,201400320,24,51824.18259259,3,25,9.602,,,,32868,9.295,,,,32868,9.206,,,,16484,9.192,,,,16484,9.196,,,,114788,0.195817
202,TYC 3986-1725-1,10.72,G0V," ",6000,35,50,4.55,0.2,0.2,-0.04,0.04,0.08," ",334.68987,55.12449,174153346898280128,334.68999792,55.12455662,55.757,17.368,0.0,872570880,104,55933.98474537,1,44,11.128,,,,16484,10.791,,,,16484,10.682,,,,16484,10.652,,,,16484,10.649,,,,114788,0.356168
203,TYC 3982-454-1,11.4,G0V," ",6465,50,35,4.55,0.25,0.2,0.06,0.04,0.02," ",334.79305,52.65068,171183347935691713,334.79335743,52.6506117,0.011,0.011,90.0,310452224,37,56968.69898148,0,7,,,,,0,13.9956,0.0945,13.1703,0.0076,24,13.1084,0.1132,,,24,13.7914,0.0248,12.7686,0.1943,16778264,12.8762,0.0011,12.2402,0.001,16777240,0.715039
204,TYC 3619-1400-1,10.9,G2V,*,5005,65,60,3.0,0.05,0.0,-0.16,0.1,0.08," ",335.11769,51.83198,170193351180399140,335.11826644,51.83195352,0.019,0.019,90.0,302067712,36,56228.33469907,0,15,,,,,0,10.2321,0.0392,12.9787,0.0837,24,9.2505,0.021,12.5234,0.1725,24,9.4535,0.0423,13.1149,0.2415,24,12.4887,0.0011,11.6085,0.0015,16778264,1.285939
205,HD 239928,8.69,G2V," ",5870,60,75,4.4,0.25,0.35,0.06,0.06,0.06," ",335.19051,56.11384,175333351908747198,335.19058,56.11385,0.053,0.053,90.0,335618048,40,51824.19239583,0,10,,,,,0,9.8249,0.0,13.6536,0.0,24,8.6183,0.1376,12.1468,0.0519,24,8.5174,0.0023,13.3309,0.001,24,8.8203,0.0537,10.804,0.0389,24,0.14504
206,BD+51 3343,10.3,G0V," ",6075,35,50,4.5,0.1,0.2,-0.24,0.04,0.06," ",335.19222,51.88201,170253351921399113,335.19223145,51.88200454,0.049,0.049,90.0,1409441792,168,51307.52038194,1,42,10.479,,,,16484,10.149,,,,16484,10.053,,,,16484,10.041,,,,16484,10.041,,,,114788,0.032152
207,TYC 3986-2183-1,11.09,G0V," ",6155,15,40,4.95,0.0,0.2,-0.34,0.02,0.02," ",335.30014,54.97781,173973353005803782,335.30023247,54.9777821,0.017,0.017,90.0,838938624,100,56143.49550926,1,11,12.153,0.0542,12.808,0.008,16440,11.7587,0.2192,12.8343,0.0,114744,10.8708,0.001,12.9344,0.001,16440,11.9615,0.001,12.1465,0.001,16432,11.4562,0.0019,11.4674,0.0026,16952,0.215839
208,BD+51 3346,10.16,G2V," ",6020,35,45,4.85,0.1,0.2,-0.16,0.02,0.04," ",335.31647,52.26946,170723353173684086,335.3169527,52.26955865,0.053,0.053,90.0,302067712,36,56143.50140046,0,28,11.4591,0.0064,12.2288,0.0209,24,10.3784,0.3406,12.1403,0.0952,24,9.8136,0.0182,13.0315,0.0492,24,9.6672,0.2212,12.821,0.0652,24,10.947,0.1186,10.7165,0.0058,16778264,1.12113
209,BD+52 3190,10.43,G0V," ",6205,45,70,4.3,0.25,0.4,-0.04,0.02,0.04," ",335.45144,52.7584,171313354518510719,335.45181912,52.75831479,0.013,0.013,90.0,268513280,32,56096.94533565,0,13,10.1108,0.0069,12.5591,0.1285,24,14.2201,0.0017,13.6992,0.0011,24,9.4811,0.0236,12.7149,0.0325,24,9.5029,0.001,12.5413,0.001,24,12.6059,0.0871,11.724,0.0145,16777240,0.88109
210,TYC 3986-165-1,11.03,G2V," ",5995,40,35,4.25,0.2,0.2,-0.02,0.02,0.04," ",335.57226,54.45925,173353355723941883,335.5724089,54.45939197,0.108,0.048,90.0,1141170176,136,56620.03172454,4,73,11.182,,,,65636,10.852,,,,114788,10.758,,,,16484,10.744,,,,114788,10.744,,,,65636,0.598584
211,TYC 3986-251-1,11.0,G2V," ",5750,40,40,4.65,0.15,0.2,-0.06,0.06,0.06," ",335.60434,56.01502,175213356045038829,335.60482198,56.01501956,0.234,0.218,0.0,1141170176,136,56359.23113426,3,69,11.7124,0.0575,12.9974,0.0779,56,11.0947,0.0824,12.8616,0.2321,16440,12.88,,,,16420,12.09,,,,16420,11.845,,,,114724,0.969895
212,BD+54 2753,9.96,G0V," ",5990,45,45,4.65,0.2,0.2,-0.06,0.02,0.04," ",335.71628,55.61381,174733357160327345,335.71624245,55.61395137,0.021,0.021,90.0,1141006336,136,54776.40174769,0,53,10.057,,,,100,9.741,,,,100,9.635,,,,100,9.607,,,,68,9.604,,,,100,0.514626
213,TYC 3986-758-1,10.95,G2V," ",5845,55,65,4.05,0.3,0.35,0.16,0.06,0.08,*,335.83253,55.84668,175013358324776770,335.83254542,55.84683044,0.154,0.06,0.0,872734720,104,55938.30482639,3,54,11.222,,,,114788,10.906,,,,68,10.8,,,,68,10.77,,,,114788,10.769,,,,114788,0.54248
214,HD 212809,8.64,G2V," ",5975,60,50,4.55,0.3,0.25,0.16,0.04,0.06,*,336.42579,55.67681,174813364253412580,336.42587764,55.67678168,0.0,0.0,90.0,268959744,32,51988.0918287,0,24,9.1522,0.1044,12.1588,0.1346,88,8.5333,0.022,,,88,8.5175,0.0,11.8621,0.0013,88,8.3143,0.007,11.0269,0.1069,88,8.5754,0.1727,10.3431,0.1161,88,0.205043
215,BD+53 2889,9.7,G0V," ",6100,50,60,4.3,0.25,0.3,0.06,0.04,0.06," ",336.88697,54.6182,173543368872762451,336.88728503,54.61815732,0.02,0.02,90.0,1107374080,132,56995.73480324,0,15,10.1072,0.0348,12.8331,0.0035,56,14.528,0.0022,14.555,0.0037,17464,9.475,0.0,13.1805,0.0,56,10.2811,0.001,10.9915,0.001,16,11.5211,0.001,10.8976,0.001,16778296,0.67441
216,BD+52 3219,9.98,G0V," ",6195,30,40,3.75,0.2,0.25,-0.06,0.02,0.04," ",337.20902,52.76347,171313372092486854,337.20901566,52.76348817,0.038,0.038,90.0,1141006336,136,53164.54751157,5,46,10.192,,,,32868,9.906,,,,32868,9.819,,,,32868,9.807,,,,32868,9.812,,,,114788,0.066092
217,BD+51 3402,10.21,G0V," ",6145,45,35,4.65,0.2,0.15,-0.58,0.04,0.02," ",337.67729,51.94614,170333376779995957,337.67769541,51.94618207,0.043,0.043,90.0,268513280,32,56143.48447917,0,28,10.5684,0.0368,12.7332,0.0832,24,10.1367,0.0272,12.4502,0.071,24,9.5069,0.3226,13.1789,0.0862,24,9.9307,0.0413,,,24,9.8219,0.0487,10.8386,0.0186,24,0.912283
